Programme_ID,Commodity,Revision_Number,Previous_Forecast_Spend,Forecast_Change,Forecast_Change_Direction,Forecast_Stability_Score,Relative Change
P001,Electronics,1,,,,,
P001,Electronics,2,2754195.78,-538531.83,DOWN,0.2431,-0.195531427
P001,Electronics,3,2215663.95,-427718.92,DOWN,0.2392,-0.193043228
P001,Electronics,4,1787945.03,-242314.21,DOWN,0.1568,-0.135526655
P001,Electronics,5,1545630.82,-115376.05,DOWN,0.0807,-0.074646577
P001,Electronics,6,1430254.77,-113757.36,DOWN,0.0864,-0.079536431
P001,Software,1,,,,,#DIV/0!
P001,Software,2,3186121.23,-604390.6,DOWN,0.2341,-0.189694791
P001,Software,3,2581730.63,-422406.27,DOWN,0.1956,-0.163613611
P001,Software,4,2159324.36,-267894.2,DOWN,0.1416,-0.124063899
P001,Software,5,1891430.16,-142899.59,DOWN,0.0817,-0.075551079
P001,Software,6,1748530.57,-89519.94,DOWN,0.054,-0.05119724
P001,Materials,1,,,,,#DIV/0!
P001,Materials,2,601367.03,-108939.92,DOWN,0.2212,-0.181153796
P001,Materials,3,492427.11,-71697.46,DOWN,0.1704,-0.145600148
P001,Materials,4,420729.65,-48898.17,DOWN,0.1315,-0.116222306
P001,Services,1,,,,,#DIV/0!
P001,Services,2,2705033.66,-518921.22,DOWN,0.2374,-0.191835402
P001,Services,3,2186112.44,-419321.79,DOWN,0.2373,-0.19181163
P001,Electronics,1,,,,,#DIV/0!
P001,Electronics,2,2315149.57,-351065.31,DOWN,0.1787,-0.151638285
P001,Electronics,3,1964084.26,-240963.5,DOWN,0.1398,-0.12268491
P001,Electronics,4,1723120.76,-184920.56,DOWN,0.1202,-0.107317238
P001,Electronics,5,1538200.2,-119255.69,DOWN,0.084,-0.077529368
P001,Services,1,,,,,#DIV/0!
P001,Services,2,1004252.38,-176634.92,DOWN,0.2134,-0.175886982
P001,Services,3,827617.46,-129521.23,DOWN,0.1855,-0.15649891
P001,Logistics,1,,,,,#DIV/0!
P001,Logistics,2,2865941.84,-502384.89,DOWN,0.2126,-0.175294866
P001,Logistics,3,2363556.95,-293059.54,DOWN,0.1415,-0.123990894
P001,Logistics,4,2070497.41,-196190.02,DOWN,0.1047,-0.094755018
P001,Logistics,5,1874307.39,-165636.72,DOWN,0.0969,-0.088372228
P001,Mechanical,1,,,,,#DIV/0!
P001,Mechanical,2,2661321.21,-438383.63,DOWN,0.1972,-0.164724058
P001,Mechanical,3,2222937.58,-302077.87,DOWN,0.1573,-0.135891297
P001,Logistics,1,,,,,#DIV/0!
P001,Logistics,2,1606095.67,-312857.39,DOWN,0.2419,-0.194793745
P001,Logistics,3,1293238.28,-159987.31,DOWN,0.1412,-0.12371062
P001,Logistics,4,1133250.97,-138412.25,DOWN,0.1391,-0.122137332
P001,Logistics,5,994838.72,-59752.76,DOWN,0.0639,-0.060062761
P001,Logistics,6,935085.96,-58073.52,DOWN,0.0662,-0.062105007
P001,Electronics,1,,,,,#DIV/0!
P001,Electronics,2,1686152.93,-339074.47,DOWN,0.2517,-0.201093545
P001,Electronics,3,1347078.46,-195615.29,DOWN,0.1699,-0.145214474
P001,Electronics,4,1151463.17,-122031.44,DOWN,0.1185,-0.105979456
P001,Electronics,5,1029431.73,-86546.1,DOWN,0.0918,-0.084071724
P001,Electronics,6,942885.63,-69780.1,DOWN,0.0799,-0.074006961
P001,Logistics,1,,,,,#DIV/0!
P001,Logistics,2,4016178.35,-713511.86,DOWN,0.216,-0.177659406
P001,Logistics,3,3302666.49,-383598.07,DOWN,0.1314,-0.116147989
P001,Logistics,4,2919068.42,-307015.7,DOWN,0.1175,-0.105175918
P001,Logistics,5,2612052.72,-198967.51,DOWN,0.0825,-0.076172854
P001,Logistics,6,2413085.21,-97737.82,DOWN,0.0422,-0.040503261
P001,Electronics,1,,,,,#DIV/0!
P001,Electronics,2,2580565.16,-374807.92,DOWN,0.1699,-0.145242572
P001,Electronics,3,2205757.24,-293928.66,DOWN,0.1537,-0.133255217
P001,Electronics,4,1911828.58,-157922.88,DOWN,0.09,-0.082603054
P001,Electronics,5,1753905.7,-145327.38,DOWN,0.0903,-0.082859289
P001,Electronics,6,1608578.32,-83222.5,DOWN,0.0546,-0.051736679
P001,Software,1,,,,,#DIV/0!
P001,Software,2,3912645.78,-1128571.22,DOWN,0.4054,-0.288441961
P001,Software,3,2784074.56,-499992.76,DOWN,0.2189,-0.179590291
P001,Software,4,2284081.8,-189771.2,DOWN,0.0906,-0.08308424
P001,Logistics,1,,,,,#DIV/0!
P001,Logistics,2,4378585.09,-1209788,DOWN,0.3818,-0.27629656
P001,Logistics,3,3168797.09,-501767.33,DOWN,0.1881,-0.158346311
P001,Logistics,1,,,,,#DIV/0!
P001,Logistics,2,3117613.44,-857651.16,DOWN,0.3795,-0.275098622
P001,Logistics,3,2259962.28,-397576.76,DOWN,0.2135,-0.175921857
P001,Logistics,4,1862385.52,-162767.01,DOWN,0.0958,-0.087397055
P001,Logistics,5,1699618.51,-65497.69,DOWN,0.0401,-0.038536701
P001,Logistics,6,1634120.82,-53127.71,DOWN,0.0336,-0.032511494
P001,Software,1,,,,,#DIV/0!
P001,Software,2,2513831.26,-715239.24,DOWN,0.3977,-0.284521579
P001,Software,3,1798592.02,-302098.78,DOWN,0.2019,-0.167964039
P001,Software,4,1496493.24,-194087.02,DOWN,0.149,-0.129694552
P001,Software,5,1302406.22,-112808.67,DOWN,0.0948,-0.08661558
P001,Software,6,1189597.55,-1564.36,DOWN,0.0013,-0.001315033
P001,Materials,1,,,,,#DIV/0!
P001,Materials,2,2047232.69,-531048.5,DOWN,0.3503,-0.259398212
P001,Materials,3,1516184.19,-197600.91,DOWN,0.1499,-0.130327774
P001,Electronics,1,,,,,#DIV/0!
P001,Electronics,2,602971.59,-166792.04,DOWN,0.3824,-0.276616747
