component,explained_variance_ratio,cumulative_explained_variance
PC1,0.2495638304670984,0.2495638304670984
PC2,0.18938279688716328,0.4389466273542617
PC3,0.12131059290814956,0.5602572202624113
PC4,0.10911135315187848,0.6693685734142898
PC5,0.09636011264687208,0.7657286860611618
PC6,0.05753863848426038,0.8232673245454222
PC7,0.044484138326347546,0.8677514628717697
PC8,0.04279903140229595,0.9105504942740656
PC9,0.027003660092927706,0.9375541543669934
PC10,0.0248857394211363,0.9624398937881297
