,PC1,PC2,PC3,PC4,PC5
Forecast_Spend,0.20199701570420217,0.3048191360145728,0.15341483855842578,0.41879446240670926,0.180689801451158
Revision_Number,-0.3898614159405114,0.0855358770383034,-0.0230406619470106,-0.03444460075998418,0.0698582663524154
Previous_Forecast_Spend,0.19463129546914837,0.4279730795588935,0.11825565996852881,0.2460746028073026,0.014608562309024005
Forecast_Change,-0.26647737388889037,-0.41840696775062786,-0.00475481517338124,0.07358899078663057,0.15416045833864858
Forecast_Stability_Score,0.3026481540553796,0.22810986078323572,-0.11103481737955916,-0.36218175560553256,-0.2696784524433144
Days_Before_Period,0.42418299087267575,-0.20223351714144472,0.025244670982732694,0.05723792762891289,0.016766412010834626
Committed_Spend,-0.10580720147884357,0.4405881794586055,0.13306245698154998,0.32768559229282695,0.09227342786812316
Commitment_Ratio,-0.4236580740499979,0.20880753359762147,-0.014211984583042797,-0.042843349346204554,-0.04374965233101205
PO_Count,-0.2599645385208004,0.12254393129324463,-0.0025027833878558713,-0.05661905934694109,-0.03924632535550146
Programme_Change_Count,0.05840967732625214,0.16519430866002868,-0.22650813627377558,-0.20980926800412222,0.4608957857813819
Programme_Scope_Churn_Index,0.06454225043154846,0.09118672296573915,-0.18474028007670243,-0.22682937356143287,0.4760809177410176
Programme_Change_Impact_Index,0.029928457840179633,0.10614400804923654,-0.2846981321429858,-0.11793853128879137,0.3841743770488521
forecast_version_month,0.001581089832769623,0.01031404971899458,0.6002511811903966,-0.30974494885828696,0.1891174998048293
forecast_version_quarter,0.0010279096855590724,0.007712684561046172,0.600556321378244,-0.3092233467591406,0.189034111354835
forecast_period_month,-0.014217376084490961,-0.008481972464945375,0.1618359824916271,0.05522124433611163,-0.26288170716945003
forecast_change_pct,-0.10785975897733494,-0.30467948535684525,0.1266973897675584,0.4421620257743497,0.33357106936816094
forecast_to_committed_ratio,0.38498210781733083,-0.23651085637258948,0.03668374375265885,0.10529553889076997,0.12236093133622643
